colour,brightness,size,name,population,planets,habitable,description
blue,8,1,Alpha I,0,1,0,A desolate sector home to the blue star Alpha I. This sector has no native life due to the immense heat radiating from the star.
red,3,2,Alpha II,100,5,3,"A sector full of life with 3 habitable planets, however none of the lifeforms on the planets are capable of space travel."
white,8,3,Alpha III,55,6,2,This sector has many mineral-rich planets with 2 of them hosting intelligent life.
orange,5,1,Beta I,1,1,1,"Only one planet remains in this sector, it used to be a prosperous home to an insectoid species however war has greatly ravaged their homeworld."
yellow,4,1,Beta II,0,7,0,Although no life is present there are plenty of planets and a few of them still have useful resources such as gold and iron.
white,7,2,Gamma I,0,1,0,"Not much is to be found here, the only planet that remains has already been depleted of most of its resources."
yellow,6,5,Delta I,0,0,0,A single star is all that can be found in this sector. There is no reason to visit this sector unless your hobbies consist of flying into a sun.
red,4,3,Delta II,230,9,1,"The economic and technological center of this solar system, home to a hyper-developed cybernetic race who know only of profit."
red,4,2,Delta III,0,14,0,"Many planets, though none habitable, can be found in this sector. A good source of rarer minerals such as uranium and plutonium."
red,3,2,Delta IV,17,4,1,"The native populi within this sector have begun to expand rapidly, although primitive the inhabitants of this sector are willing to trade."
green,1,1,Epsilon I,0,2,0,The sun within this sector has absorbed copious amounts of radioactive material resulting in it's ghastly green glow. Stay away from this sector.
orange,3,2,Epsilon II,5,3,1,
